valor_aluguel,quartos,banheiros,vagas,area,bairro,tipo
4872,2,1,0,23.5,Pinheiros,apto
6840,1,2,2,47.4,Itaim Bibi,apto
4246,2,2,0,40.2,Tatuapé,casa
8392,2,2,2,62.4,Moema,kitnet
6439,1,2,1,44.2,Moema,kitnet
4630,3,1,0,50.4,Butantã,kitnet
5407,2,1,1,51.0,Pinheiros,casa
6516,1,1,0,59.0,Itaim Bibi,kitnet
7326,3,2,2,49.4,Vila Mariana,kitnet
4812,1,2,0,38.8,Pinheiros,apto
4446,2,2,1,61.7,Tatuapé,kitnet
6841,2,2,0,81.3,Butantã,apto
8208,2,1,1,62.6,Itaim Bibi,casa
6444,3,2,1,47.8,Itaim Bibi,kitnet
9098,3,2,0,57.5,Itaim Bibi,casa
6633,2,2,2,20.0,Itaim Bibi,kitnet
5768,3,2,0,57.2,Tatuapé,apto
7770,3,2,0,52.0,Pinheiros,casa
6562,3,1,1,41.3,Butantã,kitnet
7551,2,2,0,45.0,Moema,casa
4147,1,1,1,51.8,Tatuapé,kitnet
6595,1,2,2,79.8,Moema,casa
5034,2,2,0,81.8,Vila Mariana,kitnet
5646,2,2,1,41.4,Butantã,casa
7063,1,1,0,49.6,Itaim Bibi,kitnet
8170,3,2,0,76.2,Moema,apto
7741,3,2,0,62.9,Itaim Bibi,apto
5189,3,1,1,61.9,Tatuapé,kitnet
8282,1,2,2,70.7,Moema,apto
6917,1,2,2,48.1,Moema,apto
5935,1,2,0,87.3,Vila Mariana,kitnet
9425,3,1,2,60.0,Pinheiros,casa
3639,2,2,1,42.9,Tatuapé,apto
6101,3,1,1,55.4,Butantã,apto
6900,2,2,2,84.6,Pinheiros,apto
5119,2,2,1,51.5,Butantã,kitnet
7689,2,1,0,79.0,Itaim Bibi,casa
7300,3,2,1,47.5,Vila Mariana,kitnet
4532,2,1,2,44.7,Tatuapé,apto
7102,2,2,2,73.2,Pinheiros,casa
6952,3,1,0,42.5,Itaim Bibi,apto
7630,2,2,2,76.5,Itaim Bibi,casa
8217,3,1,0,67.0,Moema,casa
6301,2,1,2,42.5,Pinheiros,kitnet
5805,3,1,0,58.6,Butantã,casa
6815,2,2,0,49.0,Moema,kitnet
5455,2,1,2,67.0,Butantã,casa
8673,1,1,1,97.8,Itaim Bibi,apto
7595,2,1,0,52.6,Itaim Bibi,kitnet
7752,1,1,0,70.7,Itaim Bibi,casa
5913,2,1,0,60.5,Vila Mariana,apto
8997,3,2,0,60.5,Moema,kitnet
7368,2,2,2,56.7,Moema,kitnet
6525,2,2,0,42.9,Moema,apto
6857,1,2,0,66.7,Pinheiros,kitnet
6801,3,2,2,54.2,Tatuapé,kitnet
5825,2,1,2,41.9,Pinheiros,kitnet
7171,2,2,0,80.3,Itaim Bibi,apto
6496,1,1,1,62.0,Itaim Bibi,casa
4115,1,2,1,55.4,Butantã,casa
8784,1,1,1,86.8,Itaim Bibi,casa
7406,3,2,0,23.3,Moema,casa
6251,3,1,2,85.5,Butantã,casa
