bairro,tipo,quartos,banheiros,vagas,area,valor_aluguel
Pinheiros,apto,2,1,0,23.5,4872
Itaim Bibi,apto,1,2,2,47.4,6840
Tatuapé,casa,2,2,0,40.2,4246
Moema,kitnet,2,2,2,62.4,8392
Moema,kitnet,1,2,1,44.2,6439
Butantã,kitnet,3,1,0,50.4,4630
Pinheiros,casa,2,1,1,51.0,5407
Itaim Bibi,kitnet,1,1,0,59.0,6516
Vila Mariana,kitnet,3,2,2,49.4,7326
Pinheiros,apto,1,2,0,38.8,4812
Tatuapé,kitnet,2,2,1,61.7,4446
Butantã,apto,2,2,0,81.3,6841
Itaim Bibi,casa,2,1,1,62.6,8208
Itaim Bibi,kitnet,3,2,1,47.8,6444
Itaim Bibi,casa,3,2,0,57.5,9098
Itaim Bibi,kitnet,2,2,2,20.0,6633
Tatuapé,apto,3,2,0,57.2,5768
Pinheiros,casa,3,2,0,52.0,7770
Butantã,kitnet,3,1,1,41.3,6562
Moema,casa,2,2,0,45.0,7551
Tatuapé,kitnet,1,1,1,51.8,4147
Moema,casa,1,2,2,79.8,6595
Vila Mariana,kitnet,2,2,0,81.8,5034
Butantã,casa,2,2,1,41.4,5646
Itaim Bibi,kitnet,1,1,0,49.6,7063
Tatuapé,apto,1,1,0,50.1,2953
Moema,apto,3,2,0,76.2,8170
Itaim Bibi,apto,3,2,0,62.9,7741
Tatuapé,kitnet,3,1,1,61.9,5189
Moema,apto,1,2,2,70.7,8282
Moema,apto,1,2,2,48.1,6917
Vila Mariana,kitnet,1,2,0,87.3,5935
Pinheiros,casa,3,1,2,60.0,9425
Tatuapé,apto,2,2,1,42.9,3639
Butantã,apto,3,1,1,55.4,6101
Pinheiros,apto,2,2,2,84.6,6900
Butantã,kitnet,2,2,1,51.5,5119
Itaim Bibi,casa,2,1,0,79.0,7689
Vila Mariana,kitnet,3,2,1,47.5,7300
Tatuapé,apto,2,1,2,44.7,4532
Pinheiros,casa,2,2,2,73.2,7102
Itaim Bibi,apto,3,1,0,42.5,6952
Itaim Bibi,casa,2,2,2,76.5,7630
Moema,casa,3,1,0,67.0,8217
Pinheiros,kitnet,2,1,2,42.5,6301
Butantã,casa,3,1,0,58.6,5805
Moema,kitnet,2,2,0,49.0,6815
Butantã,casa,2,1,2,67.0,5455
Itaim Bibi,apto,1,1,1,97.8,8673
Itaim Bibi,kitnet,2,1,0,52.6,7595
Itaim Bibi,casa,1,1,0,70.7,7752
Vila Mariana,apto,2,1,0,60.5,5913
Moema,kitnet,3,2,0,60.5,8997
Moema,kitnet,2,2,2,56.7,7368
Moema,apto,2,2,0,42.9,6525
Pinheiros,kitnet,1,2,0,66.7,6857
Tatuapé,kitnet,3,2,2,54.2,6801
Pinheiros,kitnet,2,1,2,41.9,5825
Itaim Bibi,apto,2,2,0,80.3,7171
Itaim Bibi,casa,1,1,1,62.0,6496
Butantã,casa,1,2,1,55.4,4115
Itaim Bibi,casa,1,1,1,86.8,8784
Moema,casa,3,2,0,23.3,7406
Butantã,casa,3,1,2,85.5,6251
Moema,casa,1,1,2,42.4,5336
Vila Mariana,kitnet,1,1,2,64.2,5004
Butantã,casa,3,2,2,48.2,5700
Moema,apto,2,1,0,41.5,6113
Pinheiros,apto,1,1,1,86.3,7280
Moema,kitnet,2,1,2,97.1,7741
Itaim Bibi,kitnet,1,2,1,55.6,8699
Vila Mariana,casa,1,2,2,66.7,5347
Moema,apto,2,2,1,61.1,6407
Pinheiros,kitnet,3,2,2,94.6,10089
Itaim Bibi,apto,3,1,2,20.0,8157
Moema,casa,1,2,1,67.5,6880
Vila Mariana,apto,2,1,2,45.5,6069
Vila Mariana,apto,3,1,1,20.0,5725
Tatuapé,kitnet,3,1,0,52.8,5193
Itaim Bibi,casa,3,1,1,97.0,8072
Butantã,apto,1,1,2,46.9,2321
Moema,casa,1,2,0,75.8,6299
Pinheiros,apto,1,2,0,84.0,7872
Itaim Bibi,casa,1,1,1,59.7,8077
Tatuapé,casa,1,1,1,62.4,4063
Itaim Bibi,casa,1,2,1,25.7,5204
Pinheiros,kitnet,2,1,1,45.7,6093
Vila Mariana,apto,2,2,1,78.1,7195
Itaim Bibi,apto,2,1,0,61.2,7517
Itaim Bibi,casa,1,2,0,67.3,4899
Moema,kitnet,1,2,2,62.7,9706
Itaim Bibi,casa,3,1,1,103.8,10221
Butantã,apto,2,1,2,51.4,4983
Moema,kitnet,1,2,1,92.1,7188
Butantã,casa,3,1,0,62.7,6370
Vila Mariana,apto,3,1,1,93.9,8013
Vila Mariana,casa,3,1,2,35.5,6239
Itaim Bibi,apto,1,1,2,63.7,7377
Tatuapé,kitnet,2,2,0,52.1,4674
Pinheiros,apto,3,1,2,62.8,7705
Itaim Bibi,casa,3,1,1,84.4,9315
Vila Mariana,casa,1,2,0,67.6,5802
Itaim Bibi,apto,3,2,1,84.4,9365
Pinheiros,casa,2,2,0,46.6,7112
Itaim Bibi,apto,2,2,0,43.5,5629
Itaim Bibi,casa,2,1,2,60.3,6971
Itaim Bibi,kitnet,3,2,2,59.2,8698
Tatuapé,kitnet,1,1,1,56.3,3505
Moema,apto,2,2,2,40.8,6908
Itaim Bibi,apto,3,2,2,84.0,10449
Vila Mariana,casa,2,2,1,52.7,5963
Itaim Bibi,kitnet,1,2,0,88.5,6092
Tatuapé,kitnet,1,1,1,60.3,3869
Moema,apto,2,1,0,73.0,7236
Tatuapé,apto,3,2,2,71.2,6666
Tatuapé,apto,2,1,1,43.5,4850
Pinheiros,apto,3,2,2,67.3,8300
Pinheiros,casa,2,2,2,98.6,8046
Vila Mariana,kitnet,2,1,1,65.0,5097
Pinheiros,apto,1,2,2,78.0,6488
Moema,kitnet,2,2,2,73.9,7718
Itaim Bibi,casa,1,2,2,66.1,7256
Tatuapé,casa,3,1,0,63.7,5965
Moema,kitnet,1,1,1,70.9,7052
Butantã,apto,3,1,2,75.3,7217
Tatuapé,kitnet,1,1,2,33.0,3381
Pinheiros,apto,2,1,1,64.9,7655
Itaim Bibi,casa,1,1,0,56.3,6728
Tatuapé,kitnet,1,1,0,52.2,3755
Tatuapé,casa,3,1,1,85.9,6860
Tatuapé,apto,1,2,1,45.3,3620
Tatuapé,casa,2,2,2,32.1,3076
Pinheiros,casa,3,2,0,75.9,7092
Tatuapé,apto,2,1,1,31.6,4646
Itaim Bibi,kitnet,1,2,0,21.4,5607
Vila Mariana,apto,2,2,2,78.2,7035
Tatuapé,casa,2,1,0,63.2,4017
Pinheiros,casa,1,2,0,69.5,4419
Moema,apto,1,1,0,51.2,6974
Moema,kitnet,2,2,0,32.3,6203
Butantã,casa,2,1,1,36.3,4045
Vila Mariana,apto,1,2,1,54.6,4899
Vila Mariana,casa,2,1,1,34.6,6140
Moema,casa,2,2,2,66.1,8689
Butantã,casa,1,2,1,50.8,3749
Butantã,kitnet,2,1,0,63.7,5843
Pinheiros,casa,3,1,1,63.1,6977
Vila Mariana,kitnet,2,1,2,67.7,5944
Itaim Bibi,casa,2,1,1,70.0,7365
Pinheiros,casa,3,1,0,53.1,5867
Butantã,apto,2,2,2,63.7,4854
Vila Mariana,casa,1,2,2,64.7,6663
Butantã,apto,2,2,0,20.0,3823
Vila Mariana,kitnet,2,2,1,72.9,7182
Moema,kitnet,2,2,1,63.0,7820
Tatuapé,kitnet,1,1,0,71.3,4677
Pinheiros,kitnet,1,2,0,34.3,3291
Tatuapé,apto,2,1,2,53.7,4317
Tatuapé,apto,3,2,1,38.2,5801
Itaim Bibi,kitnet,3,1,2,74.9,7727
Butantã,casa,3,1,1,31.9,5255
Tatuapé,apto,1,1,1,41.4,2530
Moema,apto,2,2,2,70.7,8134
Moema,kitnet,2,2,0,47.4,8110
Moema,casa,2,2,1,41.4,7563
Itaim Bibi,apto,2,1,0,78.1,6063
Vila Mariana,kitnet,2,2,0,79.0,7247
Vila Mariana,apto,1,2,2,74.4,7791
Moema,casa,3,1,0,77.0,10247
Pinheiros,apto,3,2,1,55.4,7641
Pinheiros,casa,1,2,1,55.9,4786
Pinheiros,casa,2,1,2,47.0,6559
Itaim Bibi,kitnet,2,1,1,63.4,8677
Itaim Bibi,casa,3,1,2,49.4,7834
Itaim Bibi,apto,3,2,2,51.3,9275
Moema,apto,2,2,2,72.0,7488
Itaim Bibi,apto,3,2,2,83.7,9709
Pinheiros,casa,3,2,0,68.0,5347
Butantã,apto,3,1,0,95.9,5816
Tatuapé,casa,1,1,1,45.9,3772
Butantã,kitnet,3,1,1,23.2,4407
Pinheiros,kitnet,2,1,2,74.3,5988
Moema,casa,1,2,2,44.6,6237
Itaim Bibi,kitnet,3,2,0,54.5,8200
Moema,kitnet,3,2,0,24.6,6769
Moema,casa,2,2,0,42.0,6709
Pinheiros,kitnet,2,1,1,30.0,5984
Moema,apto,2,2,1,51.3,6965
Vila Mariana,kitnet,1,1,0,52.1,5751
Vila Mariana,apto,3,2,2,61.8,6563
Itaim Bibi,kitnet,1,2,0,84.8,8986
Tatuapé,kitnet,2,2,1,73.5,6597
Tatuapé,casa,1,2,2,27.6,3642
Moema,apto,3,1,0,72.2,7633
Butantã,casa,3,2,2,62.2,6732
Pinheiros,casa,2,2,2,58.0,7420
Moema,kitnet,2,2,2,59.5,8662
Pinheiros,kitnet,3,1,0,64.1,5750
Moema,casa,3,1,1,46.2,7735
Butantã,kitnet,3,2,0,56.4,4097
Moema,casa,1,1,1,83.7,6969
Butantã,casa,2,2,2,45.9,6541
Moema,kitnet,3,1,2,39.4,6348
Itaim Bibi,kitnet,1,2,2,58.8,5984
Moema,casa,3,1,1,37.4,7298
Vila Mariana,casa,1,2,2,25.5,5976
Itaim Bibi,kitnet,3,1,2,53.1,8354
Butantã,kitnet,2,2,2,89.0,5145
Vila Mariana,casa,3,1,2,59.2,5530
Itaim Bibi,apto,3,2,1,63.6,8585
Vila Mariana,apto,1,1,0,20.0,2757
Itaim Bibi,apto,2,2,0,68.8,7772
Itaim Bibi,casa,3,2,2,61.9,8913
Moema,casa,1,2,0,46.7,5709
Itaim Bibi,kitnet,3,1,0,63.6,9260
Vila Mariana,apto,1,1,2,63.4,6074
Pinheiros,kitnet,2,1,1,38.8,6634
Pinheiros,casa,2,1,2,66.6,7536
Moema,apto,3,2,0,83.9,8498
Butantã,casa,3,2,1,55.4,5908
